date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,15059576,-353000,2150000,16856576
2026-01-29,29454302,-167000,3695951,32983253
2026-01-30,9708691,9822000,232000,19762691
2026-02-02,39442593,-378000,414000,39478593
2026-02-03,-7320401,-15000,-41000,-7376401
2026-02-04,35685809,-22000,75000,35738809
2026-02-05,9577282,-48000,145000,9674282
2026-02-06,-5073716,0,-822000,-5895716
2026-02-09,9366312,0,-339999,9026313
2026-02-10,11287027,0,199000,11486027
2026-02-11,37196396,-43000,460000,37613396
2026-02-23,-5624319,-40000,52218,-5612101
2026-02-24,24835765,8000,305782,25149547
2026-02-25,68161204,-25000,2308664,70444868
2026-02-26,-22586438,-3746100,-710000,-27042538
2026-03-02,-21971408,1000,-1661000,-23631408
2026-03-03,7185320,245000,-221000,7209320
2026-03-04,-25477456,-857000,-896000,-27230456
2026-03-05,-14507230,40000,-159464,-14626694
2026-03-06,12528923,30000,146000,12704923
2026-03-09,-30636482,165510,-1386000,-31856972
2026-03-10,-9297520,78510,-35010,-9254020
2026-03-11,8967022,59000,182000,9208022
2026-03-12,2004116,-36000,-651000,1317116
2026-03-13,-25342589,-5000,-450999,-25798588
2026-03-16,-11476353,-329922,-150000,-11956275
2026-03-17,-488803,3735000,327336,3573533
2026-03-18,-4098223,122512,326063,-3649648
2026-03-19,-84194391,0,26002,-84168389
2026-03-20,33587233,-4827736,-34000,28725497
2026-03-23,-46864195,1000,-598000,-47461195
2026-03-24,3734449,11000,218000,3963449
2026-03-25,6231476,28000,339000,6598476
2026-03-26,31780836,0,582000,32362836
2026-03-27,291176,22000,-120000,193176
